index,image_dir,conv_a,conv_b,conv_c,conv_d,conv_e,conv_f,conv_g,conv_h,is_fridge_corner
1414,./corner_detector_dataset/images/josea_1664327136_28116.jpg,-6958.0,-8084.0,-7116.0,-7954.0,14.0,-14.0,982.0,-982.0,0.0
1726,./corner_detector_dataset/images/javier_1664326472_7474296.jpg,-4099.0,-4273.0,-4007.0,-4447.0,41.0,-41.0,307.0,-307.0,0.0
1979,./corner_detector_dataset/images/alex_1664325537_4157934.jpg,-6009.0,-5469.0,-6135.0,-7589.0,1123.0,-1123.0,457.0,-457.0,0.0
1030,./corner_detector_dataset/images/josea_1664325358_819765.jpg,-4594.0,-4936.0,-6022.0,-6488.0,1490.0,-1490.0,404.0,-404.0,0.0
406,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_5663965.jpg,-8320.0,-5496.0,-6224.0,-5888.0,-852.0,852.0,-1580.0,1580.0,1.0
1285,./corner_detector_dataset/images/alex_1664325685_0672355.jpg,-9719.0,-10583.0,-10457.0,-11383.0,769.0,-769.0,895.0,-895.0,0.0
1305,./corner_detector_dataset/images/javier_1664326648_6635659.jpg,-2511.0,-2091.0,-1805.0,-1591.0,-603.0,603.0,-317.0,317.0,0.0
382,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_5421333.jpg,-1134.0,-2194.0,-1058.0,-2038.0,-116.0,116.0,1020.0,-1020.0,1.0
1264,./corner_detector_dataset/images/javier_1664326615_9019613.jpg,-5587.0,-8359.0,-6421.0,-8631.0,553.0,-553.0,2491.0,-2491.0,0.0
1073,./corner_detector_dataset/images/josea_1664327157_2100213.jpg,-7952.0,-7998.0,-7652.0,-7070.0,-614.0,614.0,-268.0,268.0,0.0
398,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_560411.jpg,-1610.0,-3928.0,-1218.0,-4448.0,64.0,-64.0,2774.0,-2774.0,1.0
1395,./corner_detector_dataset/images/alex_1664325700_9971387.jpg,-5343.0,-5557.0,-5515.0,-6823.0,719.0,-719.0,761.0,-761.0,0.0
669,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_851633.jpg,-3144.0,-204.0,-3220.0,-1704.0,788.0,-788.0,-2228.0,2228.0,1.0
1271,./corner_detector_dataset/images/alex_1664325602_891563.jpg,-3982.0,-5358.0,-3456.0,-4592.0,-646.0,646.0,1256.0,-1256.0,0.0
1125,./corner_detector_dataset/images/alex_1664325514_5263588.jpg,-5002.0,-5992.0,-4986.0,-7200.0,596.0,-596.0,1602.0,-1602.0,0.0
1867,./corner_detector_dataset/images/alex_1664325514_4655907.jpg,-6774.0,-5120.0,-6278.0,-5388.0,-114.0,114.0,-1272.0,1272.0,0.0
779,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_9637396.jpg,-798.0,-1170.0,-464.0,-1184.0,-160.0,160.0,546.0,-546.0,1.0
292,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_4553652.jpg,-2120.0,-2820.0,-2216.0,-2428.0,-148.0,148.0,456.0,-456.0,1.0
1507,./corner_detector_dataset/images/alex_1664325690_005366.jpg,-2931.0,-7823.0,-3219.0,-7969.0,217.0,-217.0,4821.0,-4821.0,0.0
200,./corner_detector_dataset/images/josea_1664327115_7496088.jpg,-7253.0,-5013.0,-7083.0,-6897.0,857.0,-857.0,-1213.0,1213.0,1.0
683,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_8655946.jpg,-2317.0,-4905.0,-2207.0,-4689.0,-163.0,163.0,2535.0,-2535.0,1.0
275,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_4404426.jpg,-714.0,-1344.0,-490.0,-1264.0,-152.0,152.0,702.0,-702.0,1.0
585,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_76686.jpg,-4003.0,-4901.0,-1211.0,-4871.0,-1411.0,1411.0,2279.0,-2279.0,1.0
705,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_8875358.jpg,-3103.0,-191.0,-3161.0,-1679.0,773.0,-773.0,-2197.0,2197.0,1.0
1250,./corner_detector_dataset/images/josea_1664325506_9560804.jpg,-3632.0,-5502.0,-4672.0,-5678.0,608.0,-608.0,1438.0,-1438.0,0.0
1115,./corner_detector_dataset/images/alex_1664325698_7524972.jpg,-6310.0,-9608.0,-6576.0,-9418.0,38.0,-38.0,3070.0,-3070.0,0.0
1517,./corner_detector_dataset/images/alex_1664325647_885541.jpg,-3019.0,-3249.0,-3095.0,-3383.0,105.0,-105.0,259.0,-259.0,0.0
851,./corner_detector_dataset/images/alex_1664325560_8386562.jpg,-8647.0,-8433.0,-9163.0,-8859.0,471.0,-471.0,-259.0,259.0,0.0
1471,./corner_detector_dataset/images/javier_1664326579_0872786.jpg,-7860.0,-7632.0,-8302.0,-8098.0,454.0,-454.0,-216.0,216.0,0.0
987,./corner_detector_dataset/images/josea_1664325779_3457432.jpg,-1926.0,-2266.0,-2756.0,-2292.0,428.0,-428.0,-62.0,62.0,0.0
1825,./corner_detector_dataset/images/javier_1664326466_454133.jpg,-8840.0,-8990.0,-9306.0,-9388.0,432.0,-432.0,116.0,-116.0,0.0
2016,./corner_detector_dataset/images/josea_1664327301_3115427.jpg,-3705.0,-3937.0,-3677.0,-4091.0,63.0,-63.0,323.0,-323.0,0.0
877,./corner_detector_dataset/images/alex_1664325575_465932.jpg,-2506.0,-2350.0,-2024.0,-2124.0,-354.0,354.0,-28.0,28.0,0.0
1793,./corner_detector_dataset/images/alex_1664325670_9779418.jpg,-9670.0,-10220.0,-10570.0,-11120.0,900.0,-900.0,550.0,-550.0,0.0
285,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_4504447.jpg,-4689.0,-4155.0,-4919.0,-4335.0,205.0,-205.0,-559.0,559.0,1.0
1783,./corner_detector_dataset/images/javier_1664326628_734073.jpg,-8373.0,-9117.0,-8007.0,-8829.0,-327.0,327.0,783.0,-783.0,0.0
1036,./corner_detector_dataset/images/alex_1664325552_0312686.jpg,-9260.0,-10256.0,-10204.0,-11076.0,882.0,-882.0,934.0,-934.0,0.0
607,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_7888012.jpg,-4286.0,-8484.0,-3740.0,-8158.0,-436.0,436.0,4308.0,-4308.0,1.0
1194,./corner_detector_dataset/images/javier_1664326664_8734944.jpg,-5330.0,-4860.0,-5530.0,-5140.0,240.0,-240.0,-430.0,430.0,0.0
693,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_8745706.jpg,-3715.0,-3441.0,-3455.0,-1811.0,-945.0,945.0,-959.0,959.0,1.0
555,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_7359827.jpg,-2805.0,-4319.0,-4197.0,-5053.0,1063.0,-1063.0,1185.0,-1185.0,1.0
1996,./corner_detector_dataset/images/josea_1664325274_6810706.jpg,-2355.0,-3317.0,-2423.0,-3395.0,73.0,-73.0,967.0,-967.0,0.0
181,./corner_detector_dataset/images/josea_1664326450_0196385.jpg,-8837.0,-4957.0,-8687.0,-6117.0,505.0,-505.0,-3225.0,3225.0,1.0
353,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_5172262.jpg,-2916.0,-1596.0,-2822.0,-2638.0,474.0,-474.0,-752.0,752.0,1.0
87,./corner_detector_dataset/images/javier_1664326677_2580767.jpg,-7190.0,-5204.0,-6998.0,-6888.0,746.0,-746.0,-1048.0,1048.0,1.0
1124,./corner_detector_dataset/images/javier_1664326459_3518546.jpg,-4760.0,-4260.0,-5130.0,-5442.0,776.0,-776.0,-94.0,94.0,0.0
76,./corner_detector_dataset/images/javier_1664326625_069508.jpg,-5163.0,-10149.0,-4489.0,-9765.0,-529.0,529.0,5131.0,-5131.0,1.0
833,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464873_0176227.jpg,-4604.0,-2966.0,-4568.0,-3422.0,210.0,-210.0,-1392.0,1392.0,1.0
1435,./corner_detector_dataset/images/alex_1664325677_5860937.jpg,-1887.0,-561.0,-2479.0,-1443.0,737.0,-737.0,-1181.0,1181.0,0.0
926,./corner_detector_dataset/images/josea_1664325793_9999924.jpg,-3726.0,-3718.0,-2610.0,-2902.0,-966.0,966.0,142.0,-142.0,0.0
403,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_5634038.jpg,-5378.0,-4640.0,-5304.0,-2910.0,-902.0,902.0,-1566.0,1566.0,1.0
242,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_3835578.jpg,-1518.0,-3634.0,-1224.0,-4344.0,208.0,-208.0,2618.0,-2618.0,1.0
1695,./corner_detector_dataset/images/javier_1664326663_3858962.jpg,-4450.0,-4516.0,-4978.0,-4940.0,476.0,-476.0,14.0,-14.0,0.0
984,./corner_detector_dataset/images/javier_1664326578_2379827.jpg,-2163.0,-1731.0,-1575.0,-1521.0,-399.0,399.0,-243.0,243.0,0.0
1230,./corner_detector_dataset/images/alex_1664325492_3609471.jpg,-6133.0,-8503.0,-6971.0,-8975.0,655.0,-655.0,2187.0,-2187.0,0.0
950,./corner_detector_dataset/images/josea_1664326176_4888234.jpg,-8257.0,-8725.0,-9217.0,-9687.0,961.0,-961.0,469.0,-469.0,0.0
1990,./corner_detector_dataset/images/josea_1664324945_5976884.jpg,-4413.0,-4457.0,-4615.0,-4625.0,185.0,-185.0,27.0,-27.0,0.0
1467,./corner_detector_dataset/images/josea_1664324940_7402613.jpg,-2572.0,-2892.0,-2686.0,-2990.0,106.0,-106.0,312.0,-312.0,0.0
927,./corner_detector_dataset/images/alex_1664325665_5053282.jpg,-2423.0,-2639.0,-2471.0,-2685.0,47.0,-47.0,215.0,-215.0,0.0
165,./corner_detector_dataset/images/josea_1664326117_3584197.jpg,-2993.0,-3147.0,-537.0,-3089.0,-1257.0,1257.0,1353.0,-1353.0,1.0
1651,./corner_detector_dataset/images/josea_1664325428_9047813.jpg,-1834.0,-1734.0,-1884.0,-2040.0,178.0,-178.0,28.0,-28.0,0.0
1318,./corner_detector_dataset/images/alex_1664325551_6349797.jpg,-7129.0,-7379.0,-6379.0,-6743.0,-693.0,693.0,307.0,-307.0,0.0
1806,./corner_detector_dataset/images/javier_1664326694_260641.jpg,-7115.0,-8561.0,-7311.0,-9151.0,393.0,-393.0,1643.0,-1643.0,0.0
1542,./corner_detector_dataset/images/alex_1664325559_5936038.jpg,-4393.0,-3929.0,-4939.0,-4661.0,639.0,-639.0,-371.0,371.0,0.0
47,./corner_detector_dataset/images/alex_1664325717_189266.jpg,-6529.0,-3591.0,-6313.0,-5905.0,1049.0,-1049.0,-1673.0,1673.0,1.0
1540,./corner_detector_dataset/images/josea_1664325727_30556.jpg,-6385.0,-3649.0,-6627.0,-3809.0,201.0,-201.0,-2777.0,2777.0,0.0
2075,./corner_detector_dataset/images/alex_1664325604_5822031.jpg,-3204.0,-2974.0,-2810.0,-2756.0,-306.0,306.0,-142.0,142.0,0.0
1700,./corner_detector_dataset/images/josea_1664325399_8404913.jpg,-2061.0,-2249.0,-1995.0,-2217.0,-49.0,49.0,205.0,-205.0,0.0
1585,./corner_detector_dataset/images/alex_1664325633_5748358.jpg,-4189.0,-3991.0,-4089.0,-3905.0,-93.0,93.0,-191.0,191.0,0.0
957,./corner_detector_dataset/images/alex_1664325457_7025802.jpg,-3879.0,-4279.0,-4073.0,-4475.0,195.0,-195.0,401.0,-401.0,0.0
592,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_7728443.jpg,-3604.0,-5526.0,-5374.0,-6476.0,1360.0,-1360.0,1512.0,-1512.0,1.0
894,./corner_detector_dataset/images/josea_1664324962_921399.jpg,-1265.0,-1951.0,-2357.0,-2041.0,591.0,-591.0,185.0,-185.0,0.0
924,./corner_detector_dataset/images/alex_1664325637_7213895.jpg,-4030.0,-3672.0,-4022.0,-3780.0,50.0,-50.0,-300.0,300.0,0.0
325,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_4882774.jpg,-5447.0,-3481.0,-5655.0,-3403.0,65.0,-65.0,-2109.0,2109.0,1.0
839,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464873_0225823.jpg,-5253.0,-3647.0,-4955.0,-3155.0,-395.0,395.0,-1703.0,1703.0,1.0
1953,./corner_detector_dataset/images/javier_1664326709_8408654.jpg,-8006.0,-8528.0,-8496.0,-9006.0,484.0,-484.0,516.0,-516.0,0.0
527,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_6890666.jpg,-513.0,-1745.0,-1329.0,-1771.0,421.0,-421.0,837.0,-837.0,1.0
120,./corner_detector_dataset/images/josea_1664325241_8070123.jpg,-5156.0,-10156.0,-4490.0,-9758.0,-532.0,532.0,5134.0,-5134.0,1.0
415,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_5753717.jpg,-4962.0,-7660.0,-5332.0,-6730.0,-280.0,280.0,2048.0,-2048.0,1.0
1060,./corner_detector_dataset/images/javier_1664326669_9828222.jpg,-1577.0,-1575.0,-3467.0,-3287.0,1801.0,-1801.0,-91.0,91.0,0.0
1141,./corner_detector_dataset/images/alex_1664325476_531378.jpg,-2640.0,-1960.0,-2550.0,-3014.0,482.0,-482.0,-108.0,108.0,0.0
1004,./corner_detector_dataset/images/alex_1664325491_809974.jpg,-7247.0,-7983.0,-8109.0,-8283.0,581.0,-581.0,455.0,-455.0,0.0
1201,./corner_detector_dataset/images/javier_1664326501_289828.jpg,-3400.0,-3612.0,-3302.0,-3502.0,-104.0,104.0,206.0,-206.0,0.0
675,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_8566184.jpg,-2272.0,-1898.0,-2252.0,6.0,-962.0,962.0,-1316.0,1316.0,1.0
1701,./corner_detector_dataset/images/javier_1664326523_1876311.jpg,-7482.0,-7964.0,-5120.0,-5654.0,-2336.0,2336.0,508.0,-508.0,0.0
329,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_494262.jpg,-3095.0,-2887.0,-2897.0,-1515.0,-785.0,785.0,-795.0,795.0,1.0
486,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_6461823.jpg,-4447.0,-3703.0,-4491.0,-2277.0,-691.0,691.0,-1479.0,1479.0,1.0
653,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_836705.jpg,-2600.0,-3176.0,-784.0,-3164.0,-914.0,914.0,1478.0,-1478.0,1.0
102,./corner_detector_dataset/images/javier_1664326763_7456515.jpg,-4225.0,-4833.0,-5505.0,-4111.0,279.0,-279.0,-393.0,393.0,1.0
1156,./corner_detector_dataset/images/javier_1664326664_662324.jpg,-8318.0,-8786.0,-8696.0,-9216.0,404.0,-404.0,494.0,-494.0,0.0
1934,./corner_detector_dataset/images/josea_1664325629_1607094.jpg,-3316.0,-3670.0,-2320.0,-2606.0,-1030.0,1030.0,320.0,-320.0,0.0
1758,./corner_detector_dataset/images/josea_1664327010_5388148.jpg,-6891.0,-9563.0,-7411.0,-10129.0,543.0,-543.0,2695.0,-2695.0,0.0
824,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464873_0086198.jpg,-2208.0,-2540.0,-1252.0,-2164.0,-666.0,666.0,622.0,-622.0,1.0
111,./corner_detector_dataset/images/josea_1664325064_9519475.jpg,-8551.0,-6711.0,-8175.0,-6013.0,-537.0,537.0,-2001.0,2001.0,1.0
75,./corner_detector_dataset/images/javier_1664326614_2428298.jpg,-6455.0,-4035.0,-6263.0,-6029.0,901.0,-901.0,-1327.0,1327.0,1.0
169,./corner_detector_dataset/images/josea_1664326154_000309.jpg,-4216.0,-8938.0,-4038.0,-8564.0,-276.0,276.0,4624.0,-4624.0,1.0
1835,./corner_detector_dataset/images/javier_1664326490_7921338.jpg,-5050.0,-5450.0,-5294.0,-5654.0,224.0,-224.0,380.0,-380.0,0.0
2089,./corner_detector_dataset/images/javier_1664326558_2134035.jpg,-5442.0,-6574.0,-4114.0,-4578.0,-1662.0,1662.0,798.0,-798.0,0.0
1763,./corner_detector_dataset/images/alex_1664325587_36924.jpg,-6370.0,-9598.0,-7060.0,-10248.0,670.0,-670.0,3208.0,-3208.0,0.0
1476,./corner_detector_dataset/images/alex_1664325495_4287531.jpg,-3302.0,-6146.0,-3832.0,-5712.0,48.0,-48.0,2362.0,-2362.0,0.0
662,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_844665.jpg,-3277.0,-1955.0,-3161.0,-2997.0,463.0,-463.0,-743.0,743.0,1.0
1677,./corner_detector_dataset/images/josea_1664327007_0476444.jpg,-1113.0,-1173.0,-1119.0,-1121.0,-23.0,23.0,31.0,-31.0,0.0
1958,./corner_detector_dataset/images/javier_1664326703_3018606.jpg,-7780.0,-8304.0,-8444.0,-8900.0,630.0,-630.0,490.0,-490.0,0.0
1614,./corner_detector_dataset/images/josea_1664326604_6211276.jpg,-3242.0,-3578.0,-3354.0,-3686.0,110.0,-110.0,334.0,-334.0,0.0
1574,./corner_detector_dataset/images/javier_1664326503_923106.jpg,-2571.0,-2231.0,-2601.0,-2223.0,11.0,-11.0,-359.0,359.0,0.0
1491,./corner_detector_dataset/images/josea_1664326478_174146.jpg,-3377.0,-2865.0,-3487.0,-2973.0,109.0,-109.0,-513.0,513.0,0.0
1602,./corner_detector_dataset/images/josea_1664325442_5648859.jpg,-2355.0,-2225.0,-2313.0,-2161.0,-53.0,53.0,-141.0,141.0,0.0
880,./corner_detector_dataset/images/javier_1664326689_963118.jpg,-8959.0,-9659.0,-8763.0,-9457.0,-199.0,199.0,697.0,-697.0,0.0
769,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_9517958.jpg,-4968.0,-6824.0,-6898.0,-8006.0,1556.0,-1556.0,1482.0,-1482.0,1.0
828,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464873_011613.jpg,-4257.0,-2821.0,-3667.0,-1233.0,-1089.0,1089.0,-1935.0,1935.0,1.0
1118,./corner_detector_dataset/images/josea_1664325995_3881812.jpg,-2755.0,-2933.0,-845.0,-2601.0,-1121.0,1121.0,967.0,-967.0,0.0
1070,./corner_detector_dataset/images/javier_1664326692_3753397.jpg,-8288.0,-8738.0,-8898.0,-9332.0,602.0,-602.0,442.0,-442.0,0.0
729,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_9104757.jpg,-4529.0,-4227.0,-4253.0,-2233.0,-1135.0,1135.0,-1161.0,1161.0,1.0
1355,./corner_detector_dataset/images/alex_1664325723_6708648.jpg,-6648.0,-5080.0,-7122.0,-5410.0,402.0,-402.0,-1640.0,1640.0,0.0
793,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_3_1664464872_975708.jpg,-2818.0,-5924.0,-2730.0,-5816.0,-98.0,98.0,3096.0,-3096.0,1.0
1737,./corner_detector_dataset/images/javier_1664326551_8353765.jpg,-8125.0,-7955.0,-8191.0,-8315.0,213.0,-213.0,-23.0,23.0,0.0
767,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_9517958.jpg,-2865.0,-3945.0,-3979.0,-4629.0,899.0,-899.0,865.0,-865.0,1.0
396,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_2_1664464872_5570931.jpg,-6525.0,-4589.0,-6367.0,-4873.0,63.0,-63.0,-1715.0,1715.0,1.0
2040,./corner_detector_dataset/images/alex_1664325485_097918.jpg,-7311.0,-7465.0,-4519.0,-4635.0,-2811.0,2811.0,135.0,-135.0,0.0
845,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464873_0285668.jpg,-3426.0,-2940.0,-3396.0,-1626.0,-672.0,672.0,-1128.0,1128.0,1.0
1197,./corner_detector_dataset/images/javier_1664326557_8492398.jpg,-7667.0,-7839.0,-7859.0,-8221.0,287.0,-287.0,267.0,-267.0,0.0
1357,./corner_detector_dataset/images/josea_1664325680_3135004.jpg,-2605.0,-2757.0,-1959.0,-1969.0,-717.0,717.0,81.0,-81.0,0.0
161,./corner_detector_dataset/images/josea_1664326043_257045.jpg,-4492.0,-6886.0,-6710.0,-8056.0,1694.0,-1694.0,1870.0,-1870.0,1.0
997,./corner_detector_dataset/images/josea_1664327218_3714297.jpg,-8012.0,-10586.0,-7482.0,-10276.0,-420.0,420.0,2684.0,-2684.0,0.0
1935,./corner_detector_dataset/images/javier_1664326597_984788.jpg,-8691.0,-9181.0,-9311.0,-9739.0,589.0,-589.0,459.0,-459.0,0.0
1457,./corner_detector_dataset/images/josea_1664324945_225185.jpg,-1361.0,-1241.0,-1177.0,-1223.0,-101.0,101.0,-37.0,37.0,0.0
812,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_9966779.jpg,-3411.0,-2349.0,-3321.0,-3241.0,401.0,-401.0,-571.0,571.0,1.0
1097,./corner_detector_dataset/images/josea_1664325109_8829193.jpg,-2155.0,-2235.0,-3039.0,-2861.0,755.0,-755.0,-49.0,49.0,0.0
1068,./corner_detector_dataset/images/josea_1664325461_3833203.jpg,-2855.0,-3211.0,-3521.0,-4167.0,811.0,-811.0,501.0,-501.0,0.0
1886,./corner_detector_dataset/images/javier_1664326754_3833072.jpg,-7072.0,-7514.0,-7448.0,-7870.0,366.0,-366.0,432.0,-432.0,0.0
560,./corner_detector_dataset/data_augmentation_images/dataAugmentation1_1_1664464872_7419257.jpg,-438.0,-1566.0,-1174.0,-1578.0,374.0,-374.0,766.0,-766.0,1.0
1973,./corner_detector_dataset/images/alex_1664325497_0402255.jpg,-5743.0,-6629.0,-5127.0,-5599.0,-823.0,823.0,679.0,-679.0,0.0
1444,./corner_detector_dataset/images/javier_1664326507_5069268.jpg,-4276.0,-4084.0,-3124.0,-2720.0,-1258.0,1258.0,-298.0,298.0,0.0
1735,./corner_detector_dataset/images/alex_1664325583_4506578.jpg,-7333.0,-7583.0,-7847.0,-8123.0,527.0,-527.0,263.0,-263.0,0.0
959,./corner_detector_dataset/images/alex_1664325472_8651547.jpg,-2558.0,-2386.0,-2450.0,-2278.0,-108.0,108.0,-172.0,172.0,0.0
1338,./corner_detector_dataset/images/alex_1664325542_4953666.jpg,-3095.0,-4835.0,-3047.0,-4801.0,-41.0,41.0,1747.0,-1747.0,0.0
